A-JournalCode;B-JournalLib;C-EcritureNum;D-EcritureDate;E-CompteNum;F-CompteLib;G-CompAuxNum;H-CompAuxLib;I-PieceRef;J-PieceDate;H-EcritureLib;K-Debit;L-Credit;M-EcritureLet;N-DateLet;O-ValidDate;P-Montantdevise;Q-Idevise;1-Montant;2-Valeur Absolue;3-Mois;4-Trimestre;5-Semestre;6-Année;7-Racine 1;8-Libellé Racine 1;9-Racine 2;10-Libellé Racine 2;11-Racine 3;12-Libellé Racine 3;13-Racine 4;14-Libellé Racine 4;15-Racine 5;16-Libellé Racine 5;17-Bilan;18-Resultat;19-Report à nouveau;20-Trésorerie;21-Banque;22-Caisse;23-Debit/Crédit;24-Encaissements / Décaissements;25-Dettes;26-Ventes;27-Reconnaissance fournisseur;28-Espèces;29-Investissements;30-;31-;32-;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;BIMPLI;BIMPLI PARIS;Non dispo;20230101;Facture BIMPLI - PARIS du 31/12/2022;0;112;75;;19700101;;;;112;75;112;75;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;;Dettes;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;CORPORATION;COR ;Non dispo;20230101;Facture FIVE ORIGINAL CORPORATION du 06/12/2022;0;2040;;19700101;;;;2040;2040;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;;Dettes;;;;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;DISTRIBUTION;DIS ;Non dispo;20230101;Facture FIVE ORIGINAL DISTRIBUTION du 02/04/2022;0;559;99;;19700101;;;;559;99;559;99;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;;Dettes;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;DISTRIBUTION;DIS ;Non dispo;20230101;PRELVT SEPA RECU D/O LCL  PRLV SEPA FIVE ORIGINAL DISTRIB ICS;FR85ZZZ8;599;99;0;;19700101;;;;-599;99;599;99;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;D;;Dettes;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;DISTRIBUTION;DIS ;Non dispo;20230101;Facture FIVE ORIGINAL DISTRIBUTION du 26/12/2022;0;695;73;;19700101;;;;695;73;695;73;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;;Dettes;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;DISTRIBUTION;DIS ;Non dispo;20230101;Facture FIVE ORIGINAL DISTRIBUTION du 24/12/2022;0;588;48;;19700101;;;;588;48;588;48;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;;Dettes;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;DISTRIBUTION;DIS ;Non dispo;20230101;Facture FIVE ORIGINAL DISTRIBUTION du 31/12/2022;0;672;25;;19700101;;;;672;25;672;25;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;;Dettes;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;DISTRIBUTION;DIS ;Non dispo;20230101;Facture FIVE ORIGINAL DISTRIBUTION du 29/12/2022;0;612;11;;19700101;;;;612;11;612;11;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;;Dettes;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;EAU DE PARIS;EAU DE PARIS PARIS;Non dispo;20230101;Facture EAU DE PARIS - PARIS du 02/12/2022;0;17850;;19700101;;;;17850;17850;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;;Dettes;;;;;;;;;;;
[RAN];A-Nouveau ;01/01/2001;01/01/2023;40110000;FOURNISSEURS;FRU;FRU ;Non dispo;20230101;Facture 19 du 12/12/2022;0;148;;19700101;;;;148;148;Err :520;Err :520;Err :520;2023;4;Tiers;40;FOURNISSEURS;401;Fournisseurs;4011;Fournisseurs - Achats de biens et prestations de services;40110;Fournisseurs - Achats de biens et prestations de services;Bilan;;;;;;C;;Dettes;;;;;;;;;;;
